PDV,Latitud Facturacion,Longitud Facturacion,Latitud Check in ,Longitud Check in ,Latitud FA,Longitud FA
PG11463|FARMACON SUC. GUASAVE,25.561094,-108.46178,25.5655057,-108.4558125,, 
PG11546|FARMACIAS GUADALAJARA SUC. MONTERREY LAZARO CARDEN,25.637164,-100.309883,,,, 
PG11560|FARMACIAS GUADALAJARA SUC. GUADALUPE EL CAMPESTRE,25.68239404,-100.2338444,25.7180439,-100.1792553,, 
PG11560|FARMACIAS GUADALAJARA SUC. GUADALUPE EL CAMPESTRE,25.68239404,-100.2338444,25.6776966,-100.2328516,, 
PG11560|FARMACIAS GUADALAJARA SUC. GUADALUPE EL CAMPESTRE,25.68239404,-100.2338444,,,, 
PG11603|BENAVIDES SUC. TEPIC TECNOLOGICO,21.472649,-104.854424,21.4744428,-104.8604068,, 
PG11603|BENAVIDES SUC. TEPIC TECNOLOGICO,21.472649,-104.854424,21.5218287,-104.8881968,, 
PG11603|BENAVIDES SUC. TEPIC TECNOLOGICO,21.472649,-104.854424,21.526134,-104.8877546,, 
PG11650|FARMACIAS GUADALAJARA SUC. MONTERREY AV. RODRIGO G,25.732703,-100.342744,,,, 
PG12287|FARMACIAS GUADALAJARA SUC. SANTIAGO IXCUINTLA 20 DE NOVIEMBRE,21.808679,-105.2105467,21.5104537,-104.8933854,, 
PG12484|FARMACIAS GUADALAJARA SUC. GUADALUPE AV. LAS AMERI,25.703348,-100.246606,25.7113141,-100.186834,, 
PG12658|FARMACIAS GUADALAJARA SUC. NUEVO LAREDO HEROE DE N,27.48725429,-99.51273386,,,, 
PG12734|BENAVIDES SUC. PROL. MONTERREY,27.45293933,-99.53193733,27.4670537,-99.5139569,, 
PG13022|FARMACIAS GUADALAJARA SUC. CD. MADERO AV. TORRE CA,22.276707,-97.842347,22.2772301,-97.8332382,, 
PG13153|FARMACIAS DEL AHORRO SUC. GANADEROS,19.34986,-99.11123632,19.353526,-99.1070545,, 
PG13153|FARMACIAS DEL AHORRO SUC. GANADEROS,19.34986,-99.11123632,,,, 
PG13156|BENAVIDES SUC. CHURUBUSCO,19.3611986,-99.1707212,19.3748264,-99.1630362,, 
PG13156|BENAVIDES SUC. CHURUBUSCO,19.3611986,-99.1707212,19.3748399,-99.1631144,, 
PG13156|BENAVIDES SUC. CHURUBUSCO,19.3611986,-99.1707212,,,, 
PG13238|FARMACIAS GUADALAJARA SUC. TECAMAC VILLAS DEL REAL,19.689303,-98.986943,19.7119967,-98.9748233,, 
PG13239|FARMACIAS GUADALAJARA SUC. CHALCO SAN ISIDRO,19.257706,-98.891283,19.2621597,-98.9055004,, 
PG13276|FARMACIAS MODERNA SUC. BICENTENARIO II,23.256636,-106.429553,,,, 
PG13565|BENAVIDES SUC. LA RIOJA,29.082655,-111.01194,,,, 
